Date,P(t),Q(t-1),Q(t)
1990-01-01,3.38212963,23.368,25.59
1990-01-02,1.388703704,21.706,23.368
1990-01-03,4.953796296,21.706,21.706
1990-01-04,2.441574074,22.121,21.706
1990-01-05,0.58212963,21.706,22.121
1990-01-06,0.968611111,21.29,21.706
1990-01-07,2.243148148,20.874,21.29
1990-01-08,0.171481481,20.043,20.874
1990-01-09,0.637962963,19.254,20.043
1990-01-10,0.349722222,18.51,19.254
1990-01-11,0.448888889,18.137,18.51
1990-01-12,0.025185185,17.765,18.137
1990-01-13,0.000555556,17.02,17.765
1990-01-14,0.222314815,16.275,17.02
1990-01-15,0.223518519,15.572,16.275
1990-01-16,0.002407407,15.242,15.572
1990-01-17,0.065648148,15.242,15.242
1990-01-18,0.08,15.242,15.242
1990-01-19,0.273425926,14.912,15.242
1990-01-20,0.0075,14.252,14.912
1990-01-21,0.479166667,13.921,14.252
1990-01-22,0.171759259,13.921,13.921
1990-01-23,0.01712963,13.921,13.921
1990-01-24,0.184074074,13.921,13.921
1990-01-25,0.711851852,13.921,13.921
1990-01-26,3.053703704,13.921,13.921
1990-01-27,6.193240741,14.252,13.921
1990-01-28,7.945,17.02,14.252
1990-01-29,3.033703704,17.765,17.02
1990-01-30,2.263240741,16.647,17.765
1990-01-31,4.367592593,18.137,16.647
1990-02-01,2.845,21.29,18.137
1990-02-02,0.88462963,22.953,21.29
1990-02-03,0.222592593,22.953,22.953
1990-02-04,0.009259259,22.537,22.953
1990-02-05,0.000277778,21.29,22.537
1990-02-06,0.032685185,20.043,21.29
1990-02-07,0.02212963,18.51,20.043
1990-02-08,0.004166667,17.765,18.51
1990-02-09,0,17.02,17.765
1990-02-10,0.000185185,16.275,17.02
1990-02-11,0.05037037,15.902,16.275
1990-02-12,0.183240741,17.392,15.902
1990-02-13,0.066111111,17.765,17.392
1990-02-14,0.018240741,17.392,17.765
1990-02-15,0,17.02,17.392
1990-02-16,9.26E-05,16.647,17.02
1990-02-17,0,16.275,16.647
1990-02-18,0.022222222,15.572,16.275
1990-02-19,9.26E-05,15.242,15.572
1990-02-20,0.158148148,15.242,15.242
1990-02-21,0.876759259,14.912,15.242
1990-02-22,0,14.252,14.912
1990-02-23,0.004074074,13.921,14.252
1990-02-24,0.018240741,13.921,13.921
1990-02-25,0,13.921,13.921
1990-02-26,0,13.921,13.921
1990-02-27,0,12.931,13.921
1990-02-28,0.001574074,12.601,12.931
1990-03-01,9.26E-05,12.601,12.601
1990-03-02,0.164259259,14.582,12.601
1990-03-03,0.372037037,18.882,14.582
1990-03-04,0.028611111,14.252,18.882
1990-03-05,0.014351852,11.735,14.252
1990-03-06,0.065740741,11.447,11.735
1990-03-07,0.079537037,11.447,11.447
1990-03-08,2.101296296,11.447,11.447
1990-03-09,0.499444444,11.447,11.447
1990-03-10,0.041018519,11.447,11.447
1990-03-11,0.670925926,11.447,11.447
1990-03-12,2.231481481,11.447,11.447
1990-03-13,1.221759259,11.447,11.447
1990-03-14,0.093703704,11.158,11.447
1990-03-15,0,10.581,11.158
1990-03-16,0,10.292,10.581
1990-03-17,0.001574074,10.292,10.292
1990-03-18,0.015648148,10.292,10.292
1990-03-19,0,10.292,10.292
1990-03-20,0,10.292,10.292
1990-03-21,0.0025,10.292,10.292
1990-03-22,0.002407407,10.292,10.292
1990-03-23,7.466481481,10.292,10.292
1990-03-24,1.235648148,10.292,10.292
1990-03-25,0.095462963,10.292,10.292
1990-03-26,0.00037037,10.292,10.292
1990-03-27,0.159537037,10.292,10.292
1990-03-28,0.020740741,10.292,10.292
1990-03-29,0.163148148,10.292,10.292
1990-03-30,0.18,10.292,10.292
1990-03-31,0.285092593,10.292,10.292
1990-04-01,3.144074074,10.004,10.292
1990-04-02,2.979351852,10.004,10.004
1990-04-03,0.815648148,10.292,10.004
1990-04-04,6.575277778,10.292,10.292
1990-04-05,9.761481481,10.581,10.292
1990-04-06,8.445925926,11.735,10.581
1990-04-07,1.638981481,12.601,11.735
1990-04-08,1.56712963,12.024,12.601
1990-04-09,1.601666667,11.447,12.024
1990-04-10,0.521481481,11.447,11.447
1990-04-11,0.000277778,11.158,11.447
1990-04-12,0.039444444,10.292,11.158
1990-04-13,0.475833333,10.292,10.292
1990-04-14,1.067962963,10.292,10.292
1990-04-15,0.055648148,10.292,10.292
1990-04-16,0.026296296,10.292,10.292
1990-04-17,0.055555556,10.004,10.292
1990-04-18,0.034907407,9.715,10.004
1990-04-19,0.085925926,9.715,9.715
1990-04-20,1.281296296,9.715,9.715
1990-04-21,0.749814815,9.715,9.715
1990-04-22,0.882962963,9.715,9.715
1990-04-23,1.047685185,9.715,9.715
1990-04-24,1.133888889,9.715,9.715
1990-04-25,1.13,9.715,9.715
1990-04-26,1.537407407,9.715,9.715
1990-04-27,0.137962963,9.467,9.715
1990-04-28,0.015462963,9.219,9.467
1990-04-29,0.102962963,9.219,9.219
1990-04-30,0.064444444,9.219,9.219
1990-05-01,0.505462963,8.971,9.219
1990-05-02,0.025555556,8.971,8.971
1990-05-03,9.26E-05,8.474,8.971
1990-05-04,0.012962963,8.226,8.474
1990-05-05,0,8.226,8.226
1990-05-06,0.09962963,8.226,8.226
1990-05-07,0.419074074,8.226,8.226
1990-05-08,0.732037037,8.226,8.226
1990-05-09,0.212314815,8.226,8.226
